CustomerID,Age,Gender,Location,IncomeLevel,SignupDate
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17
5fb09cd8-a473-46f7-80bd-6e49cf509078,,Female,Castilloport,High,2020-07-21
c139496e-cc89-498a-bd90-1fb4627b6cff,37.0,Male,Lake Jennifertown,,2021-01-01
50118139-7264-428f-81cc-a25fddc5d6dd,44.0,Male,Port Carl,Medium,2024-06-10
7d1f2bbc-8d16-4fbc-9b37-ece3324e8ed4,50.0,Female,Jessebury,High,2023-08-24
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13
89f7de44-e592-43c6-b033-bcbcf24088ba,,Female,South Derekbury,High,2019-12-08
9f2128cd-2f2b-4f71-987c-29fd045021f0,,Female,Lake Erin,Medium,2022-04-26
fbcd7128-ce04-4799-8c1c-722330507b96,,Female,New Reginabury,,2022-04-17
40f5a5dd-a46f-4a5e-8c0f-fe04389ddec8,,Female,Mariaberg,High,2024-02-18
c96a5ee9-f1a6-416a-adc6-1c8b128c7399,150,Male,Hansontown,High,2020-09-17
7f87735e-2345-4e9f-84e9-149fc0f168f7,,Female,Sheilabury,High,2022-08-12
aae60ad7-5553-4d10-a637-93d5dcc98e4a,,Male,Brownfort,Low,2021-12-02
8602d631-457c-49c1-8b59-8efb2a4448d4,51.0,Male,East Keithville,High,2022-04-17
dc7f151c-dd0b-44b7-9ea2-ab684e50d463,,Male,East Alexandra,Low,2019-08-05
56f11a95-76f1-4a97-b38f-db1dc95da1ed,59.0,Female,East Nathan,Medium,2020-01-02
3f520998-2bc4-4f38-af82-5ab2de339984,59.0,Female,Smithside,High,2023-10-06
b2f4c25e-be11-4912-9d14-5c288616e56e,29.0,Male,South Timothyhaven,High,2023-07-09
8de7560f-370d-4cfd-8135-20a3de237264,31.0,Female,Colemanstad,Low,2020-12-01
fcb513ca-6a74-4745-b855-6cc3e891cc02,53.0,Female,East Stuart,Medium,2022-01-09
9fc2bfa2-6dd0-4557-883b-18c88361a277,24.0,Female,North Kelly,Medium,2023-06-09
30ac13c2-740f-4650-a33b-2fe3c5a6adc2,49.0,Male,Morenoville,Low,2020-09-19
981deb70-b1e1-4d06-a2b3-489bec80c7e9,29.0,Male,Robertborough,Low,2023-12-16
fd63f236-3ec3-401d-9fa1-53bda0bd7c0e,,Male,Thomasbury,Low,2021-05-29
8704391b-7a78-454a-a257-cefaa907d324,65.0,Male,Sherryborough,High,2022-10-02
2577a150-d45a-4a04-b9e5-312e050d6f68,45.0,Male,Port Scott,High,2023-02-23
